nctid,description,label
NCT02464748,MND is often referred to as amyotrophic lateral sclerosis (ALS) or Lou Gehrig's disease.,ALS
NCT00362362,"OBJECTIVE:||The causes of sporadic motor neuron diseases, primary lateral sclerosis (PLS) and amyotrophic lateral sclerosis (ALS) are unknown. Genes have been identified for some forms of familial motor neuron diseases. We don't know whether genes also play a role in sporadic motor neuron disease, for example through risk-factor genes or by the interaction of multiple genes as a complex genetic disorder. Identification of genetic contributions to sporadic motor neuron diseases requires analysis of DNA from patients.||The goal of this protocol is to collect blood samples from patients with motor neuron disease for creation of cell lines to bank in a repository created through an NINDS initiative. The cell lines will be used for DNA extraction. The repository provides anonymized samples of patient DNA or cell lines to investigators who are seeking to define genetic causes, contributions, and susceptibilities to neurological disorders. DNA and cell lines created from the blood sample are stripped of patient identifiers and stored indefinitely. A limited amount of clinical data, termed the clinical data elements, will be available for each coded sample. The samples will only be available for research. The results of testing will not be communicated to the patient.||STUDY POPULATION:||All patients will be enrolled in a primary protocol for the study of motor neuron diseases at NIH. This protocol will serve as a secondary protocol for sample collection and reporting of clinical data elements. Patients with Primary lateral sclerosis must meet the diagnostic criteria for PLS proposed by Pringle and patients with ALS must fulfill the revised El Escorial criteria for probable or definite ALS.||DESIGN:||Determination of diagnosis and eligibility will be carried out as part of the primary protocol. Patients will be informed of the DNA sample repository and its purpose. After informed consent is obtained, 2 tubes of blood will be drawn and assigned a unique identifier code. The coded samples, and a clinical data element form will then be sent to the repository, which will extract DNA and prepare cell lines. The identities of the subjects will not be stored. An aliquot of the sample will be forwarded to the associate investigator to look for disease associations with genetic markers.||OUTCOME MEASURES:||There is no specific outcome measure for this protocol. The samples will be made accessible to a wide variety of researchers seeking to determine the causes of motor neuron diseases and other neurological disorders through the repository's contract with NINDS.",ALS
NCT03154450,"Non-invasive ventilation (NIV) use in patients with motor neurone disease (MND) who develop respiratory failure can improve symptoms and survival. Initiation of NIV can be difficult for patients and those who do not adequately adhere to the regime fail to gain benefit. This study will evaluate the use of EncoreAnywhere: a system which collects data on NIV use and effectiveness from the NIV machines and transmits it to the MND care team for review.||This study is a pilot, feasibility study. It is a randomised controlled trial comparing the use of EncoreAnywhere with usual care. Up to 40 patients with MND about to start NIV will be recruited. All patients will have the EncoreAnywhere system installed on their NIV machine for the first three months of NIV use. Half the patients will be randomised to the intervention arm which will allow the MND care team to review the information sent from the device regularly during the study. Data will be collected from the other patients but not reviewed by the clinical team. All patients will receive usual care.||Data will be collected by three methods. Data collected from the EncoreAnywhere system will examine adherence and effectiveness of ventilation. The main outcome of interest is adherence to NIV at three months. Data will be collected from patients (patient symptoms and quality of life) using questionnaires (at baseline, one and three months) and collected from information recorded in the patients' notes as part of usual care. Data will also be collected to examine feasibility e.g. recruitment and retention rates. A subset of patients will be invited to undergo overnight oximetry at 1 and 3 months to examine NIV effectiveness.||The aims of the research are to establish the level of adherence and effectiveness of NIV during initiation and factors that may impact on adherence and effectiveness and also evaluate the feasibility and impact using EncoreAnywhere on the Sheffield MND team working pattern, the clinical and cost implications for a full service.",ALS
NCT03487263,"The objectives of this study are to determine:||The safety, tolerability and immunogenicity of IC14 in patients with motor neurone disease (MND).|The pharmacokinetics and pharmacodynamics of IC14 in patients with MND.|The preliminary effect of IC14 on the Revised Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS-R) in patients with MND.|The preliminary effect of IC14 on forced vital capacity (FVC) and other clinical markers of disease severity in patients with MND.|The preliminary effect of IC14 on patient-reported outcome measures.|The preliminary effect of IC14 on disease biomarkers.||Ten patients with MND will be sequentially assigned to receive one of two dose regimens of IC14 in an unblinded manner:||For the initial 3 patients: IC14 at a dosage of 2 mg/kg on Study Day 1, then 1 mg/kg once daily on Study Days 3-5 for 4 total doses.|For the subsequent 7 patients: IC14 at a dosage of 4 mg/kg on Study Day 1, then 2 mg/kg once daily on Study Days 2-4 for 4 total doses.||Study participation will continue until 28 days after the last dose of study drug.",ALS
NCT04454892,"With the development of supportive measures, the natural history of ALS has changed. Researchers compared the natural history of ALS patients from 1999-2004 and 1984-1998 and found that the median survival time was significantly longer in the former than in the latter (4.32 years vs. 3.22 years) and that the disease progression was slower in the former, even after adjusting for other confounding factors. Although previous studies have provided reference for the diagnosis and treatment of ALS, the etiology of ALS is still unknown, and the relevant clinical features and natural history of ALS still lack the verification of large samples. Therefore, the research on the natural history of ALS is of great significance to further increase the understanding of ALS and provide new evidence for the diagnosis and treatment of ALS.",ALS
NCT02852278,"The patient activities of daily living for amyotrophic lateral sclerosis survey (PADL-ALS, Appendix B) is a patient-centric revision of the standard revised ALS functional rating scale used in clinical trials, the ALSFRS-R. The PADL-ALS was developed based on patient interviews, and patient focus groups. The ALSFRS-R is made up of 12 categories detailing various activities of daily living and includes six bulbar-respiratory functions, three upper extremity functions (writing, cutting food, and dressing), and three gross motor functions (walking, climbing, and turning in bed). Each activity is recorded to the closest approximation from a list of five choices, scored 0-4, with the total score ranging from 48 (normal function) to 0 (no function). The PADL-ALS includes questions from the ALSFRS-R, with revisions to make the questions easier to understand. In addition the PADL-ALS contains a question about pain; a question about emotional lability; and a general non-denominational question about faith. The survey will be composed of two parts, the initial survey, and then monthly follow up surveys. The initial survey will include the PADL-ALS with additional questions about symptom onset, date of diagnosis, initial region involved, patient impression of diagnosis, general demographic questions (age, gender, race, ethnicity, education), and medications related to their diagnosis of motor neuron disease.||The survey data will be stored by the Rare Diseases Clinical Research Network's Data Management and Coordinating Center (DMCC) at the University of South Florida. Upon conclusion of the study period, the data will be sent to Jeffrey Statland, MD, University of Kansas Medical Center (Study Chair) and Michael Benatar, MD, PhD, University of Miami (CReATe Consortium PI). All data collected will be sent to the database of Genotypes and Phenotypes (dbGaP) to be stored indefinitely.",ALS
NCT01776970,"CANALS project has as a main objective to analyse the safety profile, tolerability and efficacy of a Cannabis Sativa (Sativex) derivative on patients affected by spasticity due to motor neuron disease.||Muscular rigidity (or spasticity) is a symptom that affects many patients with motor neuron disease, concurring to reduce personal autonomy, patients' quality of life and can potentially cause secondary symptomatology (as pain or secondary muscular retractions). Currently available anti-spasticity drugs are often unsatisfactory and their pharmacological action can cause weakness as a secondary effect. There many arguments supporting the use of cannabinoid derivatives in motor neuron diseases. Cannabinoids receptor is expresses both in the brain and in the spinal cord. In animal models cannabinoids have an anti-spasticity effect. Moreover recent studies on ALS animal models demonstrated a neuroprotective effect of cannabinoids, including the preservation of the motor ability and a survival increase of the treated animals. Recently many clinical trials (some of them performed at the Neurological Division of San Raffaele Hospital) demonstrated cannabinoid efficacy on spasticity in Multiple Sclerosis patients. CAnnabinois would be able to reduce spasticity with no secondary weakness effect on treated patients. The results of these studies led to the drug approval in certain countries and by the European Community for the treatment of spasticity in Multiple Sclerosis.||The aim of this study is to analyze the safety, tolerability and efficacy profile of a Cannabis Sativa (Sativex) derivative on patients affected by spasticity due to motor neuron disease ( Amyotrophic Lateral Sclerosis and Primary Lateral Sclerosis). The study will be performed along 7 weeks. During the first week will be asked patients to note down in the clinical diary elements related to their symptomatology. Afterwards patients will be randomized in two groups: drug-treated and placebo treated. The study will be followed by a 6-weeks open-label phase during which all patients will receive the active drug (Phase B)",ALS
NCT01772602,The National ALS Registry's Research Notification System allows person with ALS to participate in clinical trials.,ALS
NCT01143428,"Objective||Primary lateral sclerosis (PLS) and amyotrophic lateral sclerosis (ALS) are motor neuron disorders with different phenotypes that progress at very different rates. ALS is a rapidly progressive disease with a median survival less than 5 years. Patients with PLS have a slowly progressive course with a normal lifespan. One hypothesis is that oxidative stress affects the way in which different motor neuron disorders progress. To test this hypothesis, exposures to putative triggers of oxidative stress and biomarkers that may reflect oxidative stress will be assessed in patients with motor neuron disorders. A multicenter effort (the COSMOS study) has been initiated to accumulate sufficient numbers of ALS patients to address this hypothesis. As an add-on study, PLS patients will also be assessed in the multicenter effort. The objective of this protocol is to enroll PLS patients in this multicenter effort. The goal is to assess environmental factors and markers of oxidative stress in patients with established PLS.||Study Population||15 adult patients with PLS who have symptoms of pure upper motor neuron dysfunction for at least 5 but not more than 15 years.||Design||Patients will undergo a standard battery of clinical, physiological, and cognitive screening tests at enrollment, with scheduled follow-up evaluation visits every 12 months for 36 months. Blood and urine samples will be sent to collaborators at Columbia University for analysis of markers of oxidative injury and genetic risk factors. Patients will complete a self-administered nutritional survey and will be interviewed by phone by Columbia University investigators using questionnaires to assess environmental, occupational, lifestyle and psychosocial factors thought to be triggers of oxidative stress.||Outcome Measures||The Columbia University collaborators will combine data from several centers in a regression model correlating the slope of decline of the ALS-FRS score with an index of oxidative stress.",ALS
NCT02360891,"This is a prospective observational multicentric French study of a cohort of 1000 ALS patients, 100 neurological controls and 200 healthy controls followed from the first signs to the end of the disease.||The aim of the present study is therefore to determine the clinical, biological, imaging, and electrophysiological biomarkers of prognosis of survival without events (i.e. severe comorbidity, 24 hours of non invasive ventilation, tracheotomy).||Secondary objectives will notably include i) the biomarkers of disease progression ii) biomarkers of diagnosis as compared with controls iii) the determination of the different endophenotypes according to the prognosis, the genetic profiles and the initial clinical presentations. Criteria of assessment will notably include detailed medical history, habitus, past and present treatments, vascular risk factors, ALSFRS-R, muscular testing, respiratory parameters including early nocturnal saturation and apneal profile, the detailed and predetermined clinical presentations, extensive cognitive and behavioral examination, extensive blood, cerebrospinal fluid, urines biological tests, genetic analyses, multiple brain and spinal MRI sequences, and electrophysiological tests (i.e. electromyogram, MUNIX, triple stimulation). Invasive tests will be optional (i.e. lumbar puncture, skin biopsies, muscular biopsies).||The large number of patients will allow in depth statistical analyses, notably to establish decisional trees (CHAID).",ALS
